#,Name,Primary Type,Secondary Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Variant,Generation,Evolution Stage,Category,Pre-evolution,Egg Group 1,Egg Group 2,Height (m),Weight (kg),Gender,Catch Rate,Catch Rate (%),Hatch Time,Egg Obtainable,Smash/Pass
58,Growlithe,Fire,Rock,350,55,70,45,70,50,60,Hisuian Growlithe,1,1,Puppy,,Field,,0.7,19.0,Both,190,35.2%,20 cycles,Yes,Pass
59,Arcanine,Fire,Rock,555,90,110,80,100,80,95,Hisuian Arcanine,1,2,Legendary,Growlithe,Field,,1.9,155.0,Both,75,17.5%,20 cycles,Yes,Pass
60,Poliwag,Water,,300,40,50,40,40,40,90,,1,1,Tadpole,,Water 1,,0.6,12.4,Both,255,43.9%,20 cycles,Yes,Pass
61,Poliwhirl,Water,,385,65,65,65,50,50,90,,1,2,Tadpole,Poliwag,Water 1,,1.0,20.0,Both,120,24.9%,20 cycles,Yes,Pass
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,,1,3,Tadpole,Poliwhirl,Water 1,,1.3,54.0,Both,45,11.9%,20 cycles,Yes,Pass
63,Abra,Psychic,,310,25,20,15,105,55,90,,1,1,Psi,,Human-Like,,0.9,19.5,Both,200,36.6%,20 cycles,Yes,Pass
64,Kadabra,Psychic,,400,40,35,30,120,70,105,,1,2,Psi,Abra,Human-Like,,1.3,56.5,Both,100,21.7%,20 cycles,Yes,Pass
65,Alakazam,Psychic,,500,55,50,45,135,95,120,Mega Alakazam,1,3,Psi,Kadabra,Human-Like,,1.5,48.0,Both,50,12.9%,20 cycles,Yes,Pass
66,Machop,Fighting,,305,70,80,50,35,35,35,,1,1,Superpower,,Human-Like,,0.8,19.5,Both,180,33.8%,20 cycles,Yes,Pass
67,Machoke,Fighting,,405,80,100,70,50,60,45,,1,2,Superpower,Machop,Human-Like,,1.5,70.5,Both,90,20.1%,20 cycles,Yes,Pass
68,Machamp,Fighting,,505,90,130,80,65,85,55,,1,3,Superpower,Machoke,Human-Like,,1.6,130.0,Both,45,11.9%,20 cycles,Yes,Pass
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,,1,1,Flower,,Grass,,0.7,4.0,Both,255,43.9%,20 cycles,Yes,Pass
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,,1,2,Flycatcher,Bellsprout,Grass,,1.0,6.4,Both,120,24.9%,20 cycles,Yes,Smash
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,Mega Victreebel,1,3,Flycatcher,Weepinbell,Grass,,1.7,15.5,Both,45,11.9%,20 cycles,Yes,Pass
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,,1,1,Jellyfish,,Water 3,,0.9,45.5,Both,190,35.2%,20 cycles,Yes,Pass
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,,1,2,Jellyfish,Tentacool,Water 3,,1.6,55.0,Both,60,14.8%,20 cycles,Yes,Pass
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,Alolan Geodude,1,1,Rock,,Mineral,,0.4,20.0,Both,255,43.9%,15 cycles,Yes,Pass
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,Alolan Graveler,1,2,Rock,Geodude,Mineral,,1.0,105.0,Both,120,24.9%,15 cycles,Yes,Pass
76,Golem,Rock,Ground,495,80,120,130,55,65,45,Alolan Golem,1,3,Megaton,Graveler,Mineral,,1.4,300.0,Both,45,11.9%,15 cycles,Yes,Pass
77,Ponyta,Fire,Psychic,410,50,85,55,65,65,90,Galarian Ponyta,1,1,Fire Horse,,Field,,1.0,30.0,Both,190,35.2%,20 cycles,Yes,Pass
78,Rapidash,Fire,Psychic,500,65,100,70,80,80,105,Galarian Rapidash,1,2,Fire Horse,Ponyta,Field,,1.7,95.0,Both,60,14.8%,20 cycles,Yes,Pass
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,Galarian Slowpoke,1,1,Dopey,,Monster,Water 1,1.2,36.0,Both,190,35.2%,20 cycles,Yes,Pass
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,Mega Slowbro; Galarian Slowbro,1,2,Hermit Crab,Slowpoke,Monster,Water 1,1.6,78.5,Both,75,17.5%,20 cycles,Yes,Pass
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,,1,1,Magnet,,Mineral,,0.3,6.0,Neither,190,35.2%,20 cycles,Yes,Pass
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,,1,2,Magnet,Magnemite,Mineral,,1.0,60.0,Neither,60,14.8%,20 cycles,Yes,Smash
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,Galarian Farfetch'd,1,1,Wild Duck,,Flying,Field,0.8,15.0,Both,45,11.9%,20 cycles,Yes,Pass
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,,1,1,Twin Bird,,Flying,,1.4,39.2,Both,190,35.2%,20 cycles,Yes,Pass
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,,1,2,Triple Bird,Doduo,Flying,,1.8,85.2,Both,45,11.9%,20 cycles,Yes,Pass
86,Seel,Water,,325,65,45,55,45,70,45,,1,1,Sea Lion,,Water 1,Field,1.1,90.0,Both,190,35.2%,20 cycles,Yes,Pass
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,,1,2,Sea Lion,Seel,Water 1,Field,1.7,120.0,Both,75,17.5%,20 cycles,Yes,Pass
88,Grimer,Poison,Dark,325,80,80,50,40,50,25,Alolan Grimer,1,1,Sludge,,Amorphous,,0.9,30.0,Both,190,35.2%,20 cycles,Yes,Pass
89,Muk,Poison,Dark,500,105,105,75,65,100,50,Alolan Muk,1,2,Sludge,Grimer,Amorphous,,1.2,30.0,Both,75,17.5%,20 cycles,Yes,Pass
90,Shellder,Water,,305,30,65,100,45,25,40,,1,1,Bivalve,,Water 3,,0.3,4.0,Both,190,35.2%,20 cycles,Yes,Smash
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,,1,2,Bivalve,Shellder,Water 3,,1.5,132.5,Both,60,14.8%,20 cycles,Yes,Smash
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,,1,1,Gas,,Amorphous,,1.3,0.1,Both,190,35.2%,20 cycles,Yes,Pass
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,,1,2,Gas,Gastly,Amorphous,,1.6,0.1,Both,90,20.1%,20 cycles,Yes,Pass
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,Mega Gengar,1,3,Shadow,Haunter,Amorphous,,1.5,40.5,Both,45,11.9%,20 cycles,Yes,Pass
95,Onix,Rock,Ground,385,35,45,160,30,45,70,,1,1,Rock Snake,,Mineral,,8.8,210.0,Both,45,11.9%,25 cycles,Yes,Pass
96,Drowzee,Psychic,,328,60,48,45,43,90,42,,1,1,Hypnosis,,Human-Like,,1.0,32.4,Both,190,35.2%,20 cycles,Yes,Pass
97,Hypno,Psychic,,483,85,73,70,73,115,67,,1,2,Hypnosis,Drowzee,Human-Like,,1.6,75.6,Both,75,17.5%,20 cycles,Yes,Pass
98,Krabby,Water,,325,30,105,90,25,25,50,,1,1,River Crab,,Water 3,,0.4,6.5,Both,225,39.9%,20 cycles,Yes,Pass
99,Kingler,Water,,475,55,130,115,50,50,75,,1,2,Pincer,Krabby,Water 3,,1.3,60.0,Both,60,14.8%,20 cycles,Yes,Pass
100,Voltorb,Electric,Grass,330,40,30,50,55,55,100,Hisuian Voltorb,1,1,Ball,,Mineral,,0.5,10.4,Neither,190,35.2%,20 cycles,Yes,Pass
101,Electrode,Electric,Grass,490,60,50,70,80,80,150,Hisuian Electrode,1,2,Ball,Voltorb,Mineral,,1.2,66.6,Neither,60,14.8%,20 cycles,Yes,Pass
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,,1,1,Egg,,Grass,,0.4,2.5,Both,90,20.1%,20 cycles,Yes,Pass
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,Alolan Exeggutor,1,2,Coconut,Exeggcute,Grass,,2.0,120.0,Both,45,11.9%,20 cycles,Yes,Pass
104,Cubone,Ground,,320,50,50,95,40,50,35,,1,1,Lonely,,Monster,,0.4,6.5,Both,190,35.2%,20 cycles,Yes,Pass
105,Marowak,Ground,Fire,425,60,80,110,50,80,45,Alolan Marowak,1,2,Bone Keeper,Cubone,Monster,,1.0,45.0,Both,75,17.5%,20 cycles,Yes,Pass
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,,1,2,Kicking,Tyrogue,Human-Like,,1.5,49.8,Male,45,11.9%,25 cycles,Yes,Pass
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,,1,2,Punching,Tyrogue,Human-Like,,1.4,50.2,Male,45,11.9%,25 cycles,Yes,Smash
108,Lickitung,Normal,,385,90,55,75,60,75,30,,1,1,Licking,,Monster,,1.2,65.5,Both,45,11.9%,20 cycles,Yes,Pass
109,Koffing,Poison,,340,40,65,95,60,45,35,,1,1,Poison Gas,,Amorphous,,0.6,1.0,Both,190,35.2%,20 cycles,Yes,Pass
110,Weezing,Poison,Fairy,490,65,90,120,85,70,60,Galarian Weezing,1,2,Poison Gas,Koffing,Amorphous,,1.2,9.5,Both,60,14.8%,20 cycles,Yes,Pass
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,,1,1,Spikes,,Monster,Field,1.0,115.0,Both,120,24.9%,20 cycles,Yes,Pass
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,,1,2,Drill,Rhyperior,Monster,Field,1.9,120.0,Both,60,14.8%,20 cycles,Yes,Pass
113,Chansey,Normal,Fairy,450,250,5,5,35,105,50,,1,2,Egg,Happiny,Fairy,,1.1,34.6,Female,30,8.8%,40 cycles,Yes,Pass
114,Tangela,Grass,,435,65,55,115,100,40,60,,1,1,Vine,,Grass,,1.0,35.0,Both,45,11.9%,20 cycles,Yes,Pass
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,Mega Kangaskhan,1,1,Parent,,Monster,,2.2,80.0,Female,45,11.9%,20 cycles,Yes,Pass
116,Horsea,Water,Dragon,295,30,40,70,70,25,60,,1,1,Dragon,,Water 1,Dragon,0.4,8.0,Both,225,39.9%,20 cycles,Yes,Pass
117,Seadra,Water,Dragon,440,55,65,95,95,45,85,,1,2,Dragon,Horsea,Water 1,Dragon,1.2,25.0,Both,75,17.5%,20 cycles,Yes,Pass
118,Goldeen,Water,,320,45,67,60,35,50,63,,1,1,Goldfish,,Water 2,,0.6,15.0,Both,225,39.9%,20 cycles,Yes,Pass
119,Seaking,Water,,450,80,92,65,65,80,68,,1,2,Goldfish,Goldeen,Water 2,,1.3,39.0,Both,60,14.8%,20 cycles,Yes,Pass
120,Staryu,Water,,340,30,45,55,70,55,85,,1,1,Star Shape,,Water 3,,0.8,34.5,Neither,225,39.9%,20 cycles,Yes,Pass
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,Mega Starmie,1,2,Mysterious,Staryu,Water 3,,1.1,80.0,Neither,60,14.8%,20 cycles,Yes,Pass
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,Galarian Mr,1,2,Barrier,Mime Jr.,Human-Like,,1.3,54.5,Both,45,11.9%,25 cycles,Yes,Pass
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,,1,1,Mantis,,Bug,,1.5,56.0,Both,45,11.9%,25 cycles,Yes,Pass
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,,1,2,Human Shape,Smoochum,Human-Like,,1.4,40.6,Female,45,11.9%,25 cycles,Yes,Pass
125,Electabuzz,Electric,,490,65,83,57,95,85,105,,1,2,Electric,Elekid,Human-Like,,1.1,30.0,Both,45,11.9%,25 cycles,Yes,Pass
126,Magmar,Fire,,495,65,95,57,100,85,93,,1,2,Spitfire,Magby,Human-Like,,1.3,44.5,Both,45,11.9%,25 cycles,Yes,Pass
127,Pinsir,Bug,Flying,500,65,125,100,55,70,85,Mega Pinsir,1,1,Stag Beetle,,Bug,,1.5,55.0,Both,45,11.9%,25 cycles,Yes,Pass
128,Tauros,Normal,Fighting,490,75,100,95,40,70,110,Combat Breed; Blaze Breed; Aqua Breed,1,1,Wild Bull,,Field,,1.4,88.4,Male,45,11.9%,20 cycles,Yes,Pass
129,Magikarp,Water,Dragon,200,20,10,55,15,20,80,,1,1,Fish,,Water 2,Dragon,0.9,10.0,Both,255,43.9%,5 cycles,Yes,Pass
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,Mega Gyarados,1,2,Atrocious,Magikarp,Water 2,Dragon,6.5,235.0,Both,45,11.9%,5 cycles,Yes,Pass
131,Lapras,Water,Ice,535,130,85,80,85,95,60,,1,1,Transport,,Monster,Water 1,2.5,220.0,Both,45,11.9%,40 cycles,Yes,Smash
132,Ditto,Normal,,288,48,48,48,48,48,48,,1,1,Transform,,Ditto,,0.3,4.0,Neither,35,9.9%,20 cycles,Yes,Smash
133,Eevee,Normal,,325,55,55,50,45,65,55,Gigantamax Eevee; Partner Eevee,1,1,Evolution,,Field,,0.3,6.5,Both,45,11.9%,35 cycles,Yes,Pass
134,Vaporeon,Water,,525,130,65,60,110,95,65,,1,2,Bubble Jet,Eevee,Field,,1.0,29.0,Both,45,11.9%,35 cycles,Yes,Pass
135,Jolteon,Electric,,525,65,65,60,110,95,130,,1,2,Lightning,Eevee,Field,,0.8,24.5,Both,45,11.9%,35 cycles,Yes,Pass
136,Flareon,Fire,,525,65,130,60,95,110,65,,1,2,Flame,Eevee,Field,,0.9,25.0,Both,45,11.9%,35 cycles,Yes,Pass
137,Porygon,Normal,,395,65,60,70,85,75,40,,1,1,Virtual,,Mineral,,0.8,36.5,Neither,45,11.9%,20 cycles,Yes,Pass
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,,1,1,Spiral,,Water 1,Water 3,0.4,7.5,Both,45,11.9%,30 cycles,Yes,Pass
139,Omastar,Rock,Water,495,70,60,125,115,70,55,,1,2,Spiral,Omanyte,Water 1,Water 3,1.0,35.0,Both,45,11.9%,30 cycles,Yes,Pass
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,,1,1,Shellfish,,Water 1,Water 3,0.5,11.5,Both,45,11.9%,30 cycles,Yes,Pass
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,,1,2,Shellfish,Kabuto,Water 1,Water 3,1.3,40.5,Both,45,11.9%,30 cycles,Yes,Pass
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,Mega Aerodactyl,1,1,Fossil,,Flying,,1.8,59.0,Both,45,11.9%,35 cycles,Yes,Pass
143,Snorlax,Normal,,540,160,110,65,65,110,30,Mossy Snorlax,1,2,Sleeping,Munchlax,Monster,,2.1,460.0,Both,25,7.7%,40 cycles,Yes,Pass
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,Galarian Articuno,1,1,Freeze,,No Eggs Discovered,,1.7,55.4,Neither,3,1.6%,80 cycles,No,Pass
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,Galarian Zapdos,1,1,Electric,,No Eggs Discovered,,1.6,52.6,Neither,3,1.6%,80 cycles,No,Pass
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,Galarian Moltres,1,1,Flame,,No Eggs Discovered,,2.0,60.0,Neither,3,1.6%,80 cycles,No,Pass
147,Dratini,Dragon,,300,41,64,45,50,50,50,,1,1,Dragon,,Water 1,Dragon,1.8,3.3,Both,45,11.9%,40 cycles,Yes,Pass
148,Dragonair,Dragon,,420,61,84,65,70,70,70,,1,2,Dragon,Dratini,Water 1,Dragon,4.0,16.5,Both,45,11.9%,40 cycles,Yes,Pass
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,Mega Dragonite,1,3,Dragon,Dragonair,Water 1,Dragon,2.2,210.0,Both,45,11.9%,40 cycles,Yes,Pass
150,Mewtwo,Psychic,Fighting,680,106,110,90,154,90,130,Mega Mewtwo X; Mega Mewtwo Y,1,1,Genetic,,No Eggs Discovered,,2.0,122.0,Neither,3,1.6%,120 cycles,No,Smash
151,Mew,Psychic,,600,100,100,100,100,100,100,,1,1,New Species,,No Eggs Discovered,,0.4,4.0,Neither,45,11.9%,120 cycles,No,Pass
152,Chikorita,Grass,,318,45,49,65,49,65,45,,2,1,Leaf,,Monster,Grass,0.9,6.4,Both,45,11.9%,20 cycles,Yes,Pass
153,Bayleef,Grass,,405,60,62,80,63,80,60,,2,2,Leaf,Chikorita,Monster,Grass,1.2,15.8,Both,45,11.9%,20 cycles,Yes,Pass
154,Meganium,Grass,Fairy,525,80,82,100,83,100,80,Mega Meganium,2,3,Herb,Bayleef,Monster,Grass,1.8,100.5,Both,45,11.9%,20 cycles,Yes,Pass
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,,2,1,Fire Mouse,,Field,,0.5,7.9,Both,45,11.9%,20 cycles,Yes,Pass
156,Quilava,Fire,,405,58,64,58,80,65,80,,2,2,Volcano,Cyndaquil,Field,,0.9,19.0,Both,45,11.9%,20 cycles,Yes,Pass
157,Typhlosion,Fire,Ghost,534,78,84,78,109,85,100,Hisuian Typhlosion,2,3,Volcano,Quilava,Field,,1.7,79.5,Both,45,11.9%,20 cycles,Yes,Pass
158,Totodile,Water,,314,50,65,64,44,48,43,,2,1,Big Jaw,,Monster,Water 1,0.6,9.5,Both,45,11.9%,20 cycles,Yes,Pass
159,Croconaw,Water,,405,65,80,80,59,63,58,,2,2,Big Jaw,Totodile,Monster,Water 1,1.1,25.0,Both,45,11.9%,20 cycles,Yes,Pass
160,Feraligatr,Water,Dragon,530,85,105,100,79,83,78,Mega Feraligatr,2,3,Big Jaw,Croconaw,Monster,Water 1,2.3,88.8,Both,45,11.9%,20 cycles,Yes,Pass
